timestamps,TP9,AF7,AF8,TP10,Right AUX
1741704924.192,-1000.000,-64.941,-33.691,-1000.000,0.000
1741704924.196,-936.035,-52.246,-31.250,-957.031,0.000
1741704924.200,-986.816,-54.688,-40.527,-969.238,0.000
1741704924.204,-979.004,-48.828,-37.109,-1000.000,0.000
1741704924.208,-1000.000,-51.270,-30.273,-911.133,0.000
1741704924.212,70.801,-24.902,-18.555,357.910,0.000
1741704924.216,999.512,-4.395,-19.043,999.512,0.000
1741704924.220,540.039,-37.598,-29.785,272.949,0.000
1741704924.223,-1000.000,-77.637,-32.227,-1000.000,0.000
1741704924.227,-695.312,-59.570,-25.879,-421.875,0.000
1741704924.231,874.512,-14.160,-31.250,999.512,0.000
1741704924.235,999.512,-22.461,-42.480,609.863,0.000
1741704924.239,-349.121,-61.523,-41.016,-909.180,0.000
1741704924.243,-1000.000,-65.918,-33.691,-921.875,0.000
1741704924.247,114.746,-20.508,-27.344,536.133,0.000
1741704924.251,999.512,-4.395,-33.203,999.512,0.000
1741704924.255,192.871,-49.805,-42.480,-148.438,0.000
1741704924.259,-1000.000,-76.172,-38.086,-1000.000,0.000
1741704924.263,-275.391,-38.574,-29.297,-124.023,0.000
1741704924.266,999.512,-3.418,-32.227,999.512,0.000
1741704924.270,395.020,-25.879,-35.645,181.152,0.000
1741704924.274,-1000.000,-54.688,-34.668,-1000.000,0.000
1741704924.278,-320.312,-33.203,-34.668,-214.844,0.000
1741704924.282,999.512,0.977,-37.598,999.512,0.000
1741704924.286,342.773,-30.273,-45.898,224.609,0.000
1741704924.290,-1000.000,-71.289,-47.363,-1000.000,0.000
1741704924.294,-915.527,-44.922,-37.109,-545.898,0.000
1741704924.298,659.668,-7.324,-35.645,999.512,0.000
1741704924.302,805.176,-24.902,-44.922,429.199,0.000
1741704924.306,-718.262,-60.547,-47.852,-996.582,0.000
1741704924.309,-1000.000,-59.570,-40.039,-1000.000,0.000
1741704924.313,-219.727,-29.297,-32.227,52.246,0.000
