Method,Noise decibels,Median distance,Std deviation
EMD,20,1.125,0.5332447843157962
EMD,21,1.25,0.6120610672147021
EMD,22,1.25,0.6207404852271198
EMD,23,1.25,0.5760805065266486
EMD,24,1.25,0.637102817447859
EMD,25,1.25,0.5341991669780102
EMD,26,1.25,0.5479735395071554
EMD,27,1.5,0.5682154080980205
EMD,28,1.25,0.5528336096873995
EMD,29,1.5,0.49630509769697106
EMD,30,1.5,0.47651731343152687
EMD,31,1.25,0.581264784758203
EMD,32,1.5,0.5651327277728658
EMD,33,1.25,0.4850966398564311
EMD,34,1.25,0.5584073334045676
EMD,35,1.5,0.525
EMD,36,1.5,0.5346669524105637
EMD,37,1.5,0.501715806009737
EMD,38,1.5,0.5898887606998459
EMD,39,1.5,0.5085272854036448
FOOOF,0,0.12999999999999934,0.029254871389223468
FOOOF,1,0.12500000000000044,0.03700739790906686
FOOOF,2,0.13000000000000078,0.040282595497311224
FOOOF,3,0.12499999999999956,0.047620793777508684
FOOOF,4,0.13499999999999912,0.04839573844875185
FOOOF,5,0.13750000000000007,0.051337583698495254
FOOOF,6,0.12499999999999978,0.057839087129725714
FOOOF,7,0.14000000000000012,0.06092117858347778
FOOOF,8,0.14000000000000057,0.06816340660501062
FOOOF,9,0.13499999999999923,0.06471669027383892
FOOOF,10,0.14749999999999974,0.07985680935274087
FOOOF,11,0.16750000000000043,0.09865500494146255
FOOOF,12,0.16999999999999993,0.12026844972809798
FOOOF,13,0.18249999999999988,0.3121447420668814
FOOOF,14,0.22000000000000064,0.5088292911183473
FOOOF,15,0.2174999999999998,0.48459983491536596
FOOOF,16,0.24499999999999922,0.5312247617534407
FOOOF,17,0.3100000000000005,
FOOOF,18,0.3349999999999991,
FOOOF,19,0.379999999999999,
FOOOF,20,0.6699999999999999,
FOOOF,21,1.4524999999999997,
FOOOF,22,0.9924999999999993,
FOOOF,23,1.3149999999999995,
FOOOF,24,1.0549999999999997,
FOOOF,25,1.3000000000000003,
FOOOF,26,1.795,
FOOOF,27,1.3099999999999992,
FOOOF,28,1.54,
FOOOF,29,1.5875000000000006,
FOOOF,30,1.995,
FOOOF,31,1.7649999999999997,
FOOOF,32,1.71,
FOOOF,33,1.5900000000000007,
FOOOF,34,1.6049999999999995,
FOOOF,35,1.8024999999999998,
FOOOF,36,1.9050000000000002,
FOOOF,37,1.9,
FOOOF,38,1.8674999999999997,
FOOOF,39,1.7999999999999998,
