Method,Noise decibels,Median distance,Std deviation
EMD,16,0.5,0.6979254974565695
EMD,17,0.75,0.5806031346797914
EMD,18,1.0,0.6430202174115524
EMD,19,1.0,0.5852136362047624
EMD,20,1.0,0.724098577543141
EMD,21,1.25,0.5694020986965187
EMD,22,1.0,0.4952019789944302
EMD,23,1.25,0.535601297608585
EMD,24,1.25,0.5517925334761246
EMD,25,1.375,0.583839661208452
EMD,26,1.25,0.5299705180479382
EMD,27,1.25,0.5025621852069652
EMD,28,1.25,0.5599720975191532
EMD,29,1.25,0.5595757321399848
EMD,30,1.5,0.43614791069085723
EMD,31,1.25,0.5294985835675107
EMD,32,1.25,0.6118568051431642
EMD,33,1.5,0.5190375708944391
EMD,34,1.25,0.45904792778096715
EMD,35,1.5,0.5716806363696431
EMD,36,1.375,0.48909993866284623
EMD,37,1.25,0.47887237339399735
EMD,38,1.25,0.4930770730829005
EMD,39,1.5,0.5538219479218931
FOOOF,0,0.07000000000000017,0.023134606112920994
FOOOF,1,0.06500000000000022,0.02835819987234743
FOOOF,2,0.06999999999999984,0.025338656239035195
FOOOF,3,0.0749999999999999,0.026751448558909888
FOOOF,4,0.07499999999999973,0.029083672395349248
FOOOF,5,0.08500000000000002,0.0334102903309744
FOOOF,6,0.08000000000000018,0.036982259260353444
FOOOF,7,0.08250000000000024,0.04235194800714601
FOOOF,8,0.09750000000000009,0.03772320240912751
FOOOF,9,0.09999999999999964,0.04581255286490814
FOOOF,10,0.10999999999999943,0.072117456277936
FOOOF,11,0.12500000000000022,0.08914116613551783
FOOOF,12,0.1399999999999998,0.092937129286416
FOOOF,13,0.15500000000000036,0.1714997011659203
FOOOF,14,0.1850000000000001,0.545582221117954
FOOOF,15,0.18999999999999984,0.4556107412034972
FOOOF,16,0.28,0.9121784549752581
FOOOF,17,0.33000000000000007,0.7640118460439341
FOOOF,18,0.40000000000000036,0.6627929737623721
FOOOF,19,0.4900000000000002,1.0444530030940735
FOOOF,20,0.8050000000000002,1.148078160494258
FOOOF,21,1.0099999999999998,1.2361448592633544
FOOOF,22,1.1300000000000008,1.1436624321958155
FOOOF,23,1.1500000000000004,1.2298428622513475
FOOOF,24,1.5,1.170257553727161
FOOOF,25,1.5250000000000001,1.1980083252977163
FOOOF,26,1.75,1.3596920567353863
FOOOF,27,1.794999999999999,1.2641337955728924
FOOOF,28,1.5199999999999996,1.1797355800267972
FOOOF,29,1.67,1.2331641058315628
FOOOF,30,1.8599999999999994,1.2788705981987458
FOOOF,31,1.69,1.4655317947372917
FOOOF,32,1.6500000000000004,1.192984795774393
FOOOF,33,1.6300000000000008,1.089157210552354
FOOOF,34,1.7850000000000001,1.2572507569997795
FOOOF,35,2.0200000000000005,1.380666763205866
FOOOF,36,1.705,1.0554246446599376
FOOOF,37,1.755,1.3208384942829734
FOOOF,38,1.885,0.9812997779725858
FOOOF,39,1.5700000000000003,1.1208366288294833
