Method,Noise decibels,Median distance,Std deviation
EMD,17,0.0,0.3516390194503449
EMD,18,0.25,0.40214269855363527
EMD,19,0.375,0.5193986907954236
EMD,20,0.5,0.5307718436390536
EMD,21,1.0,0.6254998001598401
EMD,22,0.75,0.5845083404024275
EMD,23,1.0,0.5639370532249145
EMD,24,1.0,0.5759991319437904
EMD,25,1.0,0.5707670277792857
EMD,26,1.0,0.5633105271517655
EMD,27,1.0,0.48088460154178364
EMD,28,1.25,0.45674801586870634
EMD,29,1.25,0.5087914602270758
EMD,30,1.375,0.67474069093245
EMD,31,1.5,0.5255949010407159
EMD,32,1.5,0.5456876395888036
EMD,33,1.25,0.5779057016503645
EMD,34,1.25,0.5604629782599382
EMD,35,1.25,0.5177837386399847
EMD,36,1.25,0.5020209158989295
EMD,37,1.25,0.5494087731370878
EMD,38,1.5,0.6014305861859705
EMD,39,1.25,0.47079719625333366
FOOOF,0,0.019999999999999796,0.009399335082866113
FOOOF,1,0.022500000000000187,0.010027337632691799
FOOOF,2,0.019999999999999796,0.011302654555457111
FOOOF,3,0.025000000000000355,0.013698448817293032
FOOOF,4,0.025000000000000355,0.012559458587056949
FOOOF,5,0.025000000000000577,0.013845215780189138
FOOOF,6,0.030000000000000027,0.0159354949719172
FOOOF,7,0.03250000000000003,0.01675380553784722
FOOOF,8,0.03750000000000031,0.016880388028715488
FOOOF,9,0.039999999999999813,0.022507554287394232
FOOOF,10,0.04499999999999971,0.024366934563050797
FOOOF,11,0.05250000000000021,0.03445954149433795
FOOOF,12,0.05999999999999972,0.03896524092059488
FOOOF,13,0.07000000000000028,0.04444488159507229
FOOOF,14,0.07500000000000018,0.037348995970440765
FOOOF,15,0.08999999999999986,0.0530238389783313
FOOOF,16,0.09000000000000019,0.06659496978000672
FOOOF,17,0.10999999999999988,0.09929616055014415
FOOOF,18,0.13749999999999984,0.19771269559641325
FOOOF,19,0.15250000000000008,0.46332445165348235
FOOOF,20,0.24250000000000005,0.7805672232421753
FOOOF,21,0.26000000000000034,0.8336147476502559
FOOOF,22,0.39249999999999985,0.9637906930449162
FOOOF,23,0.4175000000000002,0.992224269003737
FOOOF,24,0.7400000000000002,0.9707034908128324
FOOOF,25,0.895,1.1851748506120512
FOOOF,26,1.0050000000000008,0.9970260752819959
FOOOF,27,1.0500000000000007,1.3666278464676402
FOOOF,28,1.1099999999999994,1.3236278255229508
FOOOF,29,1.2400000000000002,1.2158388429544689
FOOOF,30,1.5975000000000006,1.2471564879980201
FOOOF,31,1.75,1.3962194677809965
FOOOF,32,1.3699999999999997,1.1166945049045196
FOOOF,33,1.5350000000000001,1.2383720344509241
FOOOF,34,1.6799999999999993,1.297414769235636
FOOOF,35,1.6350000000000002,1.373130336522176
FOOOF,36,1.9325,1.3515038077785866
FOOOF,37,1.7200000000000004,1.1883485166195125
FOOOF,38,1.5549999999999997,1.3628098275920504
FOOOF,39,1.7250000000000005,1.4805821648211184
